DEBUG 2024-05-23 11:48:06,775 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\contrib\postgres\forms\ranges.py first seen with mtime 1710989851.6024384
DEBUG 2024-05-23 11:48:06,781 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\urls\conf.py first seen with mtime 1710989855.9830554
DEBUG 2024-05-23 11:48:06,784 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\thread.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,789 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\template\exceptions.py first seen with mtime 1710989855.849897
DEBUG 2024-05-23 11:48:06,791 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\email\__init__.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,792 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\copyreg.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,794 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\logging\handlers.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,796 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\importlib\_abc.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,805 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\utils\http.py first seen with mtime 1710989856.072537
DEBUG 2024-05-23 11:48:06,811 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\DLLs\_socket.pyd first seen with mtime 1680674676.0
DEBUG 2024-05-23 11:48:06,814 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\email\policy.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,816 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1710989840.3700247
DEBUG 2024-05-23 11:48:06,818 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\template\__init__.py first seen with mtime 1710989855.826172
DEBUG 2024-05-23 11:48:06,825 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1710989855.1420372
DEBUG 2024-05-23 11:48:06,827 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\weakref.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,829 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\db\models\enums.py first seen with mtime 1710989855.3785164
DEBUG 2024-05-23 11:48:06,839 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\utils\tree.py first seen with mtime 1710989856.1204169
DEBUG 2024-05-23 11:48:06,842 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\core\cache\backends\__init__.py first seen with mtime 1710989854.741963
DEBUG 2024-05-23 11:48:06,845 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\DLLs\_decimal.pyd first seen with mtime 1680674676.0
DEBUG 2024-05-23 11:48:06,849 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1710989840.3910496
DEBUG 2024-05-23 11:48:06,855 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,857 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\gzip.py first seen with mtime 1680674650.0
